Designator,Mid X,Mid Y,Rotation,Layer
C10,32.254698,-46.35,0.0,top
C11,46.097349,-66.2,0.0,top
C12,48.65,-79.0,0.0,top
C2,66.525,-46.9,180.0,top
C3,68.225,-68.7,180.0,top
C4,67.425,-43.6,270.0,top
C7,137.9,-123.2,180.0,top
C8,137.9,-120.8,180.0,top
C9,32.254698,-36.8,0.0,top
D1,66.125,-78.6,180.0,top
D2,48.817349,-63.6715,0.0,top
H1,212.0,-120.0,0.0,top
H2,122.0,-120.0,0.0,top
H3,212.0,-30.0,0.0,top
H4,122.0,-30.0,0.0,top
H5,132.0,-30.0,0.0,top
J1,201.0,-74.37,0.0,top
J2,119.8,-111.25,270.0,top
J3,119.8,-99.1,270.0,top
J4,80.9,-104.8,270.0,top
K1,177.6,-29.9,0.0,top
K10,177.6,-101.9,0.0,top
K11,177.6,-109.9,0.0,top
K12,177.6,-117.9,0.0,top
K2,177.6,-37.9,0.0,top
K3,177.6,-45.9,0.0,top
K4,177.6,-53.9,0.0,top
K5,177.6,-61.9,0.0,top
K6,177.6,-69.9,0.0,top
K7,177.6,-77.9,0.0,top
K8,177.6,-85.9,0.0,top
K9,177.6,-93.9,0.0,top
R10,65.725,-67.9,270.0,top
R12,63.525,-67.9,270.0,top
R14,61.325,-67.9,270.0,top
R15,61.975,-46.0,270.0,top
R16,63.925,-46.0,270.0,top
R17,39.15,-33.3,0.0,top
R2,66.425,-61.0,180.0,top
R4,65.725,-63.65,270.0,top
R6,63.525,-63.65,270.0,top
R8,61.325,-63.65,270.0,top
U1,152.0,-50.0,270.0,top
U2,152.0,-100.205,270.0,top
U5,137.4,-75.0,180.0,top
U7,145.3,-120.8,180.0,top
